Lennon_kimaguLe,ヨルシカのグッズいいなぁ〜〜〜
ヨルシカ
嘘とカメレオン

が好きです
他に何かいいバンドがあったら教えてください,Wed Oct 09 23:47:29 JST 2019
clouds_96_hima,@ot_integral お疲れ様です
ヨルシカはギターかっこいいですよね！すごく好きです🤤,Wed Oct 09 23:47:01 JST 2019
Noootk__,meltやった時ヨルシカに怒られるんじゃないかってヒヤヒヤしました。ちなみに普通に号泣しました。,Wed Oct 09 23:46:33 JST 2019
fune_yoneminn8,ヨルシカのグッズ通販してくれるのほんと有難い,Wed Oct 09 23:46:24 JST 2019
yrqy_3,@orange02102 とととととししたか？？
遊んだ時にさりげなくヨルシカ聴かせるとか笑
友達にめっちゃゴリ押ししてるで笑,Wed Oct 09 23:46:04 JST 2019
FantasyPianist,틀린 거야, 모르는 거야, 당신들 인간도
진실도, 사랑도, 세계도, 괴로움도, 인생도 
아무래도 좋아
올바른지 알고 싶다는 건 방어 본능이야
생각해 봤어, 너 때문이야
ㅣ だから僕は音楽を辞めた - ヨルシカ,Wed Oct 09 23:45:42 JST 2019
ichigo_ore0308,@o0_shiitake_0o 言われている方の描いているヨルシカのイラスト、今全て拝見しましたが、私もどれに似ていると言っているのかちっともわかりませんでした
私はＬさんの絵に価値があると思って（って言ったらなんだか上からみたいで申し訳ないですが💦）フォローしているので、寂しいこと言わないでください😭,Wed Oct 09 23:45:32 JST 2019
R__yO10,バス乗ってから、ずっーーとヨルシカ聴いてる☺️
早く、歌えるように&ドラムで叩けるようになりたい🙌,Wed Oct 09 23:45:30 JST 2019
fanta_spl,@integral_ll ありぴよー（；＿；）
またヨルシカ聞かせてね！笑,Wed Oct 09 23:44:39 JST 2019
Atsu0906Atsushi,ヨルシカのライブのグッズめっちゃかわいい欲しい🙃,Wed Oct 09 23:44:11 JST 2019
katugen_umai,昔はユーミンって言っててもよかった
今言うとジェネレーションギャップ
だから今はヨルシカって言ってい…

続きは質問箱へ 

 https://t.co/CsYvk46cf0,Wed Oct 09 23:44:09 JST 2019
yrqy_3,@orange02102 確かに、ヨルシカ好きじゃなかったら難しいね,Wed Oct 09 23:43:18 JST 2019
R__yO10,ヨルシカのロングＴシャツ欲しいなー～ーーー(切実に🥺,Wed Oct 09 23:42:44 JST 2019
difk_02,ヨルシカと須田景凪しか聴いてない,Wed Oct 09 23:42:32 JST 2019
Singeki1207L,ヨルシカのパレード 

 https://t.co/2rpCH8TMKF,Wed Oct 09 23:42:24 JST 2019
SABAMISO727,ヨルシカのグッズ全部買えたとしたら2万越すんだよなあ
今月家賃もやばいけどぜっっっっったいに欲しいんだよな
夜勤しかない....????,Wed Oct 09 23:42:05 JST 2019
yozak13,@coorin28 15歳！すごいなーーー！ヨルシカみたいな構造タッグなのね
perfumeサブスク解禁なって心のスポーツずっと聴いてる…無限未来いいよね！去年初めてライブに行ったけどめっちゃめちゃ可愛かった…,Wed Oct 09 23:41:10 JST 2019
sora_yuna0622,ヨルシカのグッズめちゃかわ,Wed Oct 09 23:41:10 JST 2019
konty_olf,明日はhazamaの即売会あるし、来週はヨルシカの通販あるし、月末はずとまよの物販あるしでお金が足りません,Wed Oct 09 23:40:52 JST 2019
Eridanus4,@magentaojisan 冷静に聴いたらとっても素敵でびっくりしてる ヨルシカ全然知らないけどいつ頃から活動してるの？,Wed Oct 09 23:40:27 JST 2019
lovi321,【ヨルシカ】唐突に雨とカプチーノ歌ってみた【物述有栖】 https://t.co/D35wnDyG03 @YouTubeさんから,Wed Oct 09 23:40:21 JST 2019
Fj38666841Fj,ヨルシカ全然聴いてないけど
このロンＴ可愛ええな普通に欲しいw,Wed Oct 09 23:40:08 JST 2019
nago3739,ヨルシカのグッズかわいいやんん,Wed Oct 09 23:39:32 JST 2019
darts_ked,ヨルシカって良いよねって定期。,Wed Oct 09 23:38:56 JST 2019
picachuuuuuu_go,そぴのすけさんがやっていたので..私も歌うの大好き🎶
米津さんの
リビングデットユース
アンビリーバーズ
ORION
ピースサイン
凛として時雨の
unravel
あと..
変わらないもの
君の知らない物語
...なんだっけ
あ!ヨルシカの
ただ君に晴れ
を最近よく歌います😆
米津さん好きな人いたら嬉しい...,Wed Oct 09 23:38:37 JST 2019
X_x_setuna_x_X,ずっと真夜中でいいのに。
ヨルシカ
米津玄師
ですかね… 

 https://t.co/mp4vt4cdWh,Wed Oct 09 23:37:58 JST 2019
kmcn_lemon,@conan_yoru 本当に可愛すぎます😳パジャマにしたら毎日ヨルシカに浸れますね…☺️,Wed Oct 09 23:37:30 JST 2019
dayama_shika,麦わらの。

#あいみょん
#マリーゴールド
#歌ってみた
#歌い手
#カラオケ
#YouTube
#歌い手さんMIX師さん絵師さん動画師さんPさんと繋がりたい 
#邦ロック
#フォローミー 
#らぶりつください
#少しでもいいなと思ったらいいね 
#ヨルシカ
#ボカロ
#裏アカ女子 

👇🏻フル👇🏻
https://t.co/jZGRRDlNnz https://t.co/tyu9cBda71,Wed Oct 09 23:37:29 JST 2019
1227Amane,言って。 ＋5 / ヨルシカ
by 吹雪 天
#nanamusic https://t.co/r2A4ZRqGcB

歌いました！
お時間ありましたらぜひ！,Wed Oct 09 23:36:31 JST 2019
yrqy_3,グッズ見ながらヨルシカの曲聞いてたら「あーライブ当てた人はこの曲も生で聴けるかもなんよなあ」ってなる特にノーチラスの時あーーーめっちゃヘコむライブ行きたかったほんまに見られへんの？？,Wed Oct 09 23:36:15 JST 2019
chocobar148cm,明日のヨルシカのライブ行けなくて泣いてるけど通販でグッズを売ってくれるので散財することにしためっちゃ買う、通販してくれるのは神ムーブすぎる,Wed Oct 09 23:36:02 JST 2019
Eridanus4,ヨルシカめっちゃ良くないか？,Wed Oct 09 23:34:53 JST 2019
kaguya2953,できればヨルシカ以外でいきたいね,Wed Oct 09 23:34:28 JST 2019
kda_lol0015,Gosu ヨルシカっぽい曲聞いとるｗ,Wed Oct 09 23:33:51 JST 2019
naganegi_3331,アクスタ欲しいけど私はヨルシカのグッズがあるからね〜
今回パース,Wed Oct 09 23:32:46 JST 2019
gunchan305,相方がくすぐってきて蹴り飛ばしそう。
ヨルシカさん歌ってるわ。
拍手を口でいうの笑
カラオケ行きたいらしい。
くそ。ジーパン履くんじゃなかったぜ,Wed Oct 09 23:32:09 JST 2019
una_yu_,やばいヨルシカさんの通販のグッズが尊すぎて泣いてる。絶対すぐ売り切れるからお母さんに頼んどく🥴本当に好きなのn-bunaさんsuisさん！,Wed Oct 09 23:31:28 JST 2019
shichi7go5san3,椎名もたさんとヨルシカは私の中で永遠だけど新曲が出るかでないかの差は大きすぎてもたさんの遺作を再生する手が止まらないな,Wed Oct 09 23:30:59 JST 2019
PM_higure,@x888natsu888x どうせ死ぬんだから（ヨルシカ並感）でとりあえず生きておきます('◇')ゞ,Wed Oct 09 23:30:36 JST 2019
fumiya21107951,家族と話してて、暇だしみんなでなんかのファンクラブ入ろうってなってSEKAINOOWARIと髭ダンとヨルシカに我入ろうと思ったのにヨルシカのファンクラブなくてびっくりしてる,Wed Oct 09 23:30:31 JST 2019
hachiiiii_rice,ああHYPE外れてヨルシカのライブ行けないとなったらもう私だめだそもそもヨルシカは儒教と供給のバランス狂ってるんだーーーリセールの結果怖いようわぁぁん,Wed Oct 09 23:30:05 JST 2019
shichi7go5san3,ヨルシカは全曲いい曲だけどそのなかでも負け犬にアンコールはいらない と だから僕は音楽をやめた は名アルバム中の名アルバムだと思う,Wed Oct 09 23:29:45 JST 2019
Akam1g,@yozora_hs_ab my first story 、あとはちょっとしか聴いてないけどヨルシカ,Wed Oct 09 23:28:58 JST 2019
yonezu0520,ヨルシカ最高……グッズ欲しい……,Wed Oct 09 23:28:08 JST 2019
flow26rn_sky,#NowPlaying

melt(with suis from ヨルシカ) / TK from  凛として時雨,Wed Oct 09 23:27:52 JST 2019
Nkosuke3,一年以上教えてる仲良い生徒がヨルシカ好きって言ってて衝撃の一致,Wed Oct 09 23:27:34 JST 2019
parsya29,ヨルシカさんの曲っていいよね,Wed Oct 09 23:27:26 JST 2019
TAISA_YATOKAMI,ヨルシカさんとずっと真夜中だったらいいのにさんと美波さんの曲はすごい切ない曲ばかりで好きだなぁ,Wed Oct 09 23:27:16 JST 2019
ragijannu_love,あらためてヨルシカがかなり有名なんだって思いましたなんかさみしい,Wed Oct 09 23:27:13 JST 2019
ponzu_idv,@ToyotaKq ヨルシカ最高,Wed Oct 09 23:26:44 JST 2019
bkEOK5V5C14SsN9,昼過ぎ制御修理で故障元の原因がわからず、詰まっていたけど、ヨルシカの車窓を聴きながら大学内の川辺を散歩して少し楽になった、音楽と自然に感謝 https://t.co/WcTO8aU9kq,Wed Oct 09 23:26:41 JST 2019
falilv_3_tre_n,ここ最近はもっぱら、ずっと真夜中でいいのに。とヨルシカ,Wed Oct 09 23:26:21 JST 2019
Marimo_RRReol,ヨルシカさんのグッズ絶対買う,Wed Oct 09 23:25:31 JST 2019
Goose_aiyu_7,嵐さんの公式YouTubeチャンネルの誕生とヨルシカのライブグッズ発表により、バイト終わりに情報過多で頭抱えてる幸せすぎるなんだこれ,Wed Oct 09 23:25:11 JST 2019
ynhnmi,ヨルシカの言っての英語ver練習してるんだけどむずい,Wed Oct 09 23:24:55 JST 2019
robiiiiiimmm,おしごとつかれたけどフォロワーさんたちの素敵な絵とヨルシカ聴いていやされながら夜を過ごす,Wed Oct 09 23:23:39 JST 2019
428szn,ヨルシカ当たらなかったけどグッズだけ買いに行こかな,Wed Oct 09 23:22:37 JST 2019
Tsukishiro_527,ヨルシカはものすごい感情入った歌い方するから好きすぎる,Wed Oct 09 23:22:03 JST 2019
Yabaitamagoyaki,ずっと真夜中でいいのに派の人と
ヨルシカ派の人どっちの方が多いんかな？
(自分はどっちも好きでふ),Wed Oct 09 23:21:56 JST 2019
KARASU__nana,@pazukome ヨルシカ声合うと思うんだ、パズー。,Wed Oct 09 23:21:48 JST 2019
chari05chiri,言って/ヨルシカ #NowPlaying,Wed Oct 09 23:21:45 JST 2019
ma_utakata_me,なんか普通のJpopとかいわゆる普通の歌手はそうでもないんだけど、ボカロとかから出てきた人たち(米津さんとかヨルシカとか)の曲たどると、歌ってみたとかがボロボロ出てきてまじで邪魔
youtubeお前、私が今まで一回でも歌ってみたをクリックしたことがあるか？？？あ？？？,Wed Oct 09 23:21:39 JST 2019
Airi0390,@sucre_observer わかりみ
ヨルシカさんの曲もMVもえもえもですこ,Wed Oct 09 23:21:27 JST 2019
iro_yoru_,@manami37801024 よね！！！！
さすがまなみ分かっとる（）
今更ヨルシカ愛が爆発しとる爆笑,Wed Oct 09 23:21:20 JST 2019
taiko_newsong,2019/07/25 [J-POP]

ただ君に晴れ
 ヨルシカ

(グリーン)
 #太鼓の達人楽曲紹介bot,Wed Oct 09 23:20:59 JST 2019
ntor_m,@okakaonigiri ヨルシカの藍二乗で出てきた万年筆のインクを使う機会が来たと思って、書きたいんですけど時間なくて、今から書きます！！！,Wed Oct 09 23:20:39 JST 2019
A_chin_hobby,@105_tomonori まさか東郷先輩もヨルシカ聴いていらっしゃるとは…🤩,Wed Oct 09 23:20:34 JST 2019
_____myou,ヨルシカのライブグッツなんかいみてもかわい、、ロンT保存用と着るよう2個ほしい,Wed Oct 09 23:19:44 JST 2019
manami37801024,@iro_yoru_ いいよねええええええ！てかあの爽やかなMVを冬に出すヨルシカのセンスが尊い。。
私も青っぽいと思う！！！！！！！！！！だいぶ！！！笑,Wed Oct 09 23:19:39 JST 2019
CordaydArmont,ヨルシカの物販にあるロンT欲しすぎばろた,Wed Oct 09 23:18:49 JST 2019
kanapon_nu0617,瀬田の文化祭はヨルシカが来るぞ
きっと！これだけ焦らしたんだから！それなりのやつ呼べよ？,Wed Oct 09 23:18:41 JST 2019
keimaruru,ヨルシカ、フレデリック、フォーリミのロンＴが可愛すぎて今一番欲しい…,Wed Oct 09 23:18:16 JST 2019
snow_card12,ヨルシカ外しまくった結果グレてるなう,Wed Oct 09 23:17:54 JST 2019
kujira0730,ヨルシカさんのライブも大事だけど、27日にコレサワちゃん観に行くので新幹線のチケット購入して来た。来月も大阪に行くんだけど😂,Wed Oct 09 23:17:52 JST 2019
iro_yoru_,@manami37801024 よね！！藍二乗のMVとかそーとすき。
ヨルシカ青っぽいイメージない？俺だけかな？笑笑,Wed Oct 09 23:17:37 JST 2019
latte39,ヨルシカのライブに外れたからゴッドランド島に行ってヨルシカの歌を熱唱することで僕がヨルシカになる計画、台風で欠便しそうでワロてる,Wed Oct 09 23:17:27 JST 2019
tail0414,推してる何もかもが好きで楽しい〜わ、今日で何回目か分からないヨルシカを聴いて私は寝ます☺️☺️,Wed Oct 09 23:17:26 JST 2019
0008x_x,ヨルシカ リセールのやつ クレジットカードないと出来ないのほんとに泣ける,Wed Oct 09 23:17:25 JST 2019
attyuntyun915,大体選曲が似ている人達2、3人でカラオケ行くの絶対楽しい
ヨルシカとかキタニとかそこらへん好み合う人募集してます,Wed Oct 09 23:16:51 JST 2019
wakukiragirl,@n_y_6 全力でヨルシカさんPRに励みます( • ̀•́ )✧
もっちろん！未成年ですけどね！笑笑,Wed Oct 09 23:16:07 JST 2019
sleepymusta,ヨルシカろんてぃほしさ,Wed Oct 09 23:15:46 JST 2019
souUIROU,@Mokimoki0205 ずとまよ はラババンなかったからヨルシカはラババンほすぃ…
ラババン収集癖あるから…,Wed Oct 09 23:15:17 JST 2019
keimaruru,10番 11番 12番 16番 のうちいずれか代行可能な方がいらっしゃいましたらお声がけ下さい
※ 事前振込+代行費〇 です
#ヨルシカ #月光 https://t.co/WwpP2Q3eZ8,Wed Oct 09 23:15:07 JST 2019
manami37801024,@iro_yoru_ おおおお同じだよおおお！！！
やっぱ青はヨルシカ味が強いくて好きなんさ💙,Wed Oct 09 23:14:40 JST 2019
Kaho__ot_No1,@ot_integral 今日も一日お疲れ様でした！
今日はヨルシカの日なんですね✨,Wed Oct 09 23:14:39 JST 2019
ccc_NPC,TK from 凛として時雨 『melt (with suis from ヨルシカ)』 https://t.co/ECddKyYEtT @YouTubeより,Wed Oct 09 23:14:35 JST 2019
norampom,ヨルシカのロンTほしい、かわいい,Wed Oct 09 23:14:30 JST 2019
gmn_tls,@ot_integral ヨルシカめちゃいいですよね🥰,Wed Oct 09 23:14:26 JST 2019
MiniTomato870,@ot_integral ヨルシカは、神曲ばっかり！,Wed Oct 09 23:14:26 JST 2019
azuma_east,いいな…いいな…ヨルシカ のライブ行ける人いいな…
念とか飛ばせないかな…
いいな…,Wed Oct 09 23:13:58 JST 2019
yukipanda0716,ヨルシカの言ってのラバーキーホルダーめっさ可愛い,Wed Oct 09 23:13:49 JST 2019
